ZIP Code Standard,Zip Codes Clean,City ,State,County,Crime Rate ,Urban or Rural,Population (2010 US Census),Low Access Tract 1and10,Vehicle Access,Low Income Tracts,Poverty Rate,Poverty Tract (At or > 20%),Median Family Income,"Family Income Tract (At or < $59,039)",Low Access to Supermarket,Risk of Of Being Distant from SM,Access to Exercise (%),Lack of Exercise Access,High School Graduation Rate,Below National Average (84.6%),Percentage Unemployed,Unemployed Tract (National Average = 3.7%,Percentage Uninsured,Uninsured Tract (National Average = 8.8%
81006,81006,Pueblo,Colorado,Pueblo,0,0,4350,1,0,0,1,0,23.2,1,37477,1,0.68,1,0.81,1,0.043,1,0.08,0
81646,81646,MOLINA,Colorado,Mesa,0,0,3424,0,1,0,1,0,15.4,1,58229,1,0.78,0,0.76,1,0.04,1,0.09,1
83647,83647,MOUNTAIN HOME,Idaho,Elmore,0,0,2797,0,0,0,1,0,15.7,1,44537,1,0.37,1,0.92,0,0.072,1,0.17,1
81036,81036,Chivington,Colorado,Kiowa,0,0,2553,0,0,0,0,0,16,1,59643,1,0.59,1,0.95,0,0.018,0,0.11,1
81008,81008,Pueblo,Colorado,Pueblo,0,1,2202,1,0,0,1,0,25.7,1,40972,1,0.68,1,0.81,1,0.043,1,0.08,0
35223,35223,Mountain Brook,Alabama,Jefferson,1,1,3042,1,1,1,38.3,1,28445,1,816.7285445,0,0.8,0,0.89,0,0.042,1,0.1,1
94531,94531,Antioch,California,Contra Costa,0,1,3659,1,0,1,7.3,0,73917,0,3659.000001,1,0.97,0,0.88,0,0.038,1,0.06,0
80024,80024,Dupont,Colorado,Adams,1,1,854,1,0,1,35.4,1,51458,1,395.8927466,0,0.99,0,0.83,1,0.026,0,0.07,0
80030,80030,WESTMINSTER,Colorado,Adams,0,1,3254,1,0,1,37.7,1,35833,1,1949.644593,1,0.92,0,0.75,1,0.031,0,0.12,1
80037,80037,COMMERCE CITY,Colorado,Adams,0,1,854,1,0,1,35.4,1,51458,1,395.8927466,0,0.99,0,0.83,1,0.026,0,0.07,0
80603,80603,BRIGHTON,Colorado,Adams,1,1,5555,1,1,1,41.7,1,33986,1,837.7871361,0,0.92,0,0.75,1,0.031,0,0.12,1
80614,80614,EASTLAKE,Colorado,Adams,0,1,5484,1,0,1,10.1,0,51563,1,5360.608994,1,0.8,0,0.82,1,0.027,0,0.09,1
80640,80640,HENDERSON,Colorado,Adams,1,1,5557,1,1,1,39.9,1,32321,1,588.9520815,0,0.8,0,0.82,1,0.027,0,0.09,1
80013,80013,AURORA,Colorado,Arapahoe,1,1,2414,1,1,1,29.5,1,32525,1,801.1234732,0,0.99,0,0.81,1,0.028,0,0.09,1
80160,80160,LITTLETON,Colorado,Arapahoe,1,1,5196,1,0,1,7.7,0,62243,0,519.4642536,0,0.99,0,0.67,1,0.028,0,0.1,1
80230,80230,DENVER,Colorado,Denver,0,1,3687,1,1,1,40.1,1,37426,1,1915.715269,1,0.99,0,0.67,1,0.028,0,0.1,1
80904,80904,COLORADO SPRINGS,Colorado,El Paso,1,1,5902,1,0,1,14.8,0,51509,1,925.4575659,0,0.88,0,0.76,1,0.033,0,0.07,0
80908,80908,COLORADO SPRINGS,Colorado,El Paso,0,1,3855,1,0,1,18.5,0,56830,1,2557.749135,1,0.88,0,0.76,1,0.033,0,0.07,0
80911,80911,COLORADO SPRINGS,Colorado,El Paso,0,1,2997,1,1,1,19.9,0,48750,1,2131.332607,1,0.88,0,0.76,1,0.033,0,0.07,0
80915,80915,COLORADO SPRINGS,Colorado,El Paso,0,1,3789,1,1,1,25.8,1,41277,1,1344.952446,1,0.88,0,0.76,1,0.033,0,0.07,0
81212,81212,CANON CITY,Colorado,Fremont,0,1,5626,1,0,1,20.8,1,43327,1,2124.803494,1,0.67,1,0.79,1,0.043,1,0.09,1
81223,81223,Cotopaxi,Colorado,Fremont,0,1,5626,1,0,1,20.8,1,43327,1,2124.803494,1,0.67,1,0.79,1,0.043,1,0.09,1
80023,80023,BROOMFIELD,Colorado,Jefferson,0,1,2190,1,0,1,14.8,0,54399,1,1816.486906,1,0.99,0,0.83,1,0.026,0,0.07,0
80023,80023,BROOMFIELD,Colorado,Jefferson,0,1,2190,1,0,1,14.8,0,54399,1,1816.486906,1,0.99,0,0.83,1,0.026,0,0.07,0
80525,80525,FORT COLLINS,Colorado,Larimer,1,1,2578,1,0,1,30.6,1,48375,1,547.2959775,0,0.93,0,0.79,1,0.024,0,0.07,0
81503,81503,GRAND JUNCTION,Colorado,Mesa,0,1,4271,1,0,1,18,0,57639,1,1158.191308,1,0.78,0,0.76,1,0.04,1,0.09,1
81504,81504,GRAND JUNCTION,Colorado,Mesa,0,1,5500,1,1,1,20.4,1,38558,1,1418.662511,1,0.78,0,0.76,1,0.04,1,0.09,1
81505,81505,GRAND JUNCTION,Colorado,Mesa,0,1,6008,1,1,1,28.3,1,38373,1,3618.864014,1,0.78,0,0.76,1,0.04,1,0.09,1
81521,81521,FRUITA,Colorado,Mesa,0,1,8825,1,1,1,29.5,1,44049,1,2283.47131,1,0.78,0,0.76,1,0.04,1,0.09,1
81321,81321,CORTEZ,Colorado,Montezuma,0,1,3911,1,1,1,28.8,1,40388,1,1012.551782,1,0.79,0,0.74,1,0.04,1,0.13,1
81401,81401,MONTROSE,Colorado,Montrose,0,1,6205,1,1,1,25.8,1,44405,1,1886.789915,1,0.85,0,0.81,1,0.033,0,0.12,1
81403,81403,MONTROSE,Colorado,Montrose,0,1,4392,1,0,1,15.2,0,47147,1,2579.7021,1,0.85,0,0.81,1,0.033,0,0.12,1
80701,80701,FORT MORGAN,Colorado,Morgan,0,1,6634,1,1,1,9.5,0,47964,1,2587.286956,1,0.73,0,0.84,1,0.024,0,0.12,1
81005,81005,PUEBLO,Colorado,Pueblo,1,1,1857,1,0,1,29.4,1,35375,1,1428.497606,1,0.68,1,0.81,1,0.043,1,0.08,0
80631,80631,GREELEY,Colorado,Weld,0,1,1634,1,0,1,15.7,0,36313,1,1056.773607,1,0.8,0,0.82,1,0.027,0,0.09,1
80632,80632,GREELEY,Colorado,Weld,0,1,1602,1,0,1,25.3,1,40417,1,636.0231205,0,0.8,0,0.82,1,0.027,0,0.09,1
80634,80634,GREELEY,Colorado,Weld,0,1,6796,1,1,1,33.5,1,41397,1,3060.445145,1,0.8,0,0.82,1,0.027,0,0.09,1
80642,80642,HUDSON,Colorado,Weld,0,1,661,1,0,1,10.1,0,52083,1,445.4626769,0,0.8,0,0.82,1,0.027,0,0.09,1
80651,80651,PLATTEVILLE,Colorado,Weld,0,1,6459,1,0,1,15,0,51295,1,1748.553604,1,0.8,0,0.82,1,0.027,0,0.09,1
33852,33852,Lake Placid,Florida,Highlands,0,1,1449,1,1,1,12.4,0,32400,1,649.8211139,0,0.87,0,0.73,1,0.056,1,0.18,1
34135,34135,Bonita Springs,Florida,Lee,1,1,4732,1,0,1,42.3,1,34246,1,788.6306251,0,0.87,0,0.79,1,0.04,1,0.17,1
34652,34652,New Port Richey,Florida,Pasco,0,1,2387,1,0,1,19.9,0,36154,1,2386.999998,1,0.81,0,0.82,1,0.044,1,0.15,1
66425,66425,FAIRVIEW,Kansas,Brown,0,1,3602,1,1,1,21.8,1,50056,1,812.4596217,0,0.56,1,0.86,0,0.032,0,0.11,1
66006,66006,Baldwin City,Kansas,Douglas,0,1,3227,1,0,1,18.6,0,52545,1,1900.257567,1,0.92,0,0.84,1,0.032,0,0.1,1
66044,66044,LAWRENCE,Kansas,Douglas,0,1,2847,1,0,1,7.8,0,55019,1,2847.000026,1,0.92,0,0.84,1,0.032,0,0.1,1
66047,66047,LAWRENCE,Kansas,Douglas,0,1,6819,1,1,1,30.4,1,52100,1,1943.243951,1,0.92,0,0.84,1,0.032,0,0.1,1
67846,67846,GARDEN CITY,Kansas,Finney,1,1,7047,1,0,1,16,0,50729,1,1646.108867,1,0.85,0,0.81,1,0.018,0,0.14,1
67801,67801,DODGE CITY,Kansas,Ford,0,1,8407,1,1,1,25.1,1,63618,0,2904.095547,1,0.78,0,0.91,0,0.027,0,0.16,1
66095,66095,Williamsburg,Kansas,Franklin,0,1,2998,1,0,1,24.1,1,45789,1,2997.999982,1,0.56,1,0.89,0,0.037,0,0.08,0
66441,66441,JUNCTION CITY,Kansas,Geary ,1,1,2779,1,0,1,33.5,1,41810,1,1770.571059,1,0.86,0,0.87,0,0.05,1,0.09,1
66020,66020,Easton,Kansas,Leavenworth,0,1,1916,1,1,1,41.1,1,21875,1,1916.000008,1,0.79,0,0.92,0,0.39,1,0.07,0
66043,66043,Lansing,Kansas,Leavenworth,0,1,2795,1,0,1,25.4,1,37944,1,2718.102628,1,0.79,0,0.92,0,0.39,1,0.07,0
66835,66835,Americus,Kansas,Lyon,0,1,5360,1,0,1,25.9,1,53990,1,778.1682248,0,0.58,1,0.88,0,0.038,1,0.13,1
66835-0011,66835,Americus,Kansas,Lyon,0,1,5360,1,0,1,25.9,1,53990,1,778.1682248,0,0.58,1,0.88,0,0.038,1,0.13,1
66835-9576,66835,Americus,Kansas,Lyon,0,1,5360,1,0,1,25.9,1,53990,1,778.1682248,0,0.58,1,0.88,0,0.038,1,0.13,1
66854,66854,HARTFORD,Kansas,Lyon,0,1,4796,1,0,1,24.9,1,40298,1,1925.613693,1,0.58,1,0.88,0,0.038,1,0.13,1
67501,67501,HUTCHINSON,Kansas,Reno,1,1,3534,1,0,1,19.2,0,48636,1,1101.126534,1,0.67,1,0.87,0,0.039,1,0.1,1
66442,66442,FORT RILEY,Kansas,Riley,0,1,9017,1,0,1,13.8,0,52222,1,8345.098771,1,0.9,0,0.82,1,0.03,0,0.09,1
66449,66449,LEONARDVILLE,Kansas,Riley,0,1,2642,1,0,1,52.9,1,78611,0,2160.778835,1,0.9,0,0.82,1,0.03,0,0.09,1
66502,66502,MANHATTAN,Kansas,Riley,0,1,5013,1,0,1,27.8,1,63750,0,844.0582165,0,0.9,0,0.82,1,0.03,0,0.09,1
66503,66503,MANHATTAN,Kansas,Riley,0,1,4968,1,1,1,59.4,1,51250,1,1359.414522,1,0.9,0,0.82,1,0.03,0,0.09,1
67658,67658,PARADISE,Kansas,Russell,0,1,4670,1,0,1,18.6,0,50500,1,716.5648948,0,0.64,1,0.84,1,0.033,0,0.12,1
67217,67217,WICHITA,Kansas,Sedgwick,1,1,3200,1,1,1,45.1,1,26636,1,943.1872635,0,0.86,0,0.81,1,0.042,1,0.11,1
66533,66533,ROSSVILLE,Kansas,Shawnee,0,1,2413,1,1,1,31.1,1,32428,1,1207.724695,1,0.91,0,0.86,0,0.037,0,0.09,1
66539,66539,SILVER LAKE,Kansas,Shawnee,0,1,3171,1,0,1,31.6,1,35327,1,1014.921888,1,0.91,0,0.86,0,0.037,0,0.09,1
66542,66542,TECUMSEH,Kansas,Shawnee,1,1,3663,1,1,1,33.2,1,39044,1,2652.609636,1,0.91,0,0.86,0,0.037,0,0.09,1
66542,66542,TECUMSEH,Kansas,Shawnee,1,1,3663,1,1,1,33.2,1,39044,1,2652.609636,1,0.91,0,0.86,0,0.037,0,0.09,1
66601,66601,TOPEKA,Kansas,Shawnee,1,1,3663,1,1,1,33.2,1,39044,1,2652.609636,1,0.91,0,0.86,0,0.037,0,0.09,1
66604,66604,TOPEKA,Kansas,Shawnee,0,1,3374,1,0,1,14,0,42424,1,602.5627552,0,0.91,0,0.86,0,0.037,0,0.09,1
66604,66604,TOPEKA,Kansas,Shawnee,0,1,3374,1,0,1,14,0,42424,1,602.5627552,0,0.91,0,0.86,0,0.037,0,0.09,1
66604,66604,TOPEKA,Kansas,Shawnee,0,1,3374,1,0,1,14,0,42424,1,602.5627552,0,0.91,0,0.86,0,0.037,0,0.09,1
66605,66605,TOPEKA,Kansas,Shawnee,1,1,3390,1,1,1,50.3,1,25000,1,3164.699789,1,0.91,0,0.86,0,0.037,0,0.09,1
66605,66605,TOPEKA,Kansas,Shawnee,1,1,3390,1,1,1,50.3,1,25000,1,3164.699789,1,0.91,0,0.86,0,0.037,0,0.09,1
66605,66605,TOPEKA,Kansas,Shawnee,1,1,3390,1,1,1,50.3,1,25000,1,3164.699789,1,0.91,0,0.86,0,0.037,0,0.09,1
66605,66605,TOPEKA,Kansas,Shawnee,1,1,3390,1,1,1,50.3,1,25000,1,3164.699789,1,0.91,0,0.86,0,0.037,0,0.09,1
66605,66605,TOPEKA,Kansas,Shawnee,1,1,3390,1,1,1,50.3,1,25000,1,3164.699789,1,0.91,0,0.86,0,0.037,0,0.09,1
66606,66606,TOPEKA,Kansas,Shawnee,0,1,2284,1,1,1,37.3,1,24167,1,1451.663299,1,0.91,0,0.86,0,0.037,0,0.09,1
66606,66606,TOPEKA,Kansas,Shawnee,0,1,2284,1,1,1,37.3,1,24167,1,1451.663299,1,0.91,0,0.86,0,0.037,0,0.09,1
66104,66104,Kansas City,Kansas,Wyandotte,1,1,1351,1,1,1,40.9,1,22143,1,1350.999992,1,0.9,0,0.75,1,0.052,1,0.17,1
66111,66111,Edwardsville,Kansas,Wyandotte,1,1,738,1,0,1,39.5,1,30139,1,737.9999937,0,0.9,0,0.75,1,0.052,1,0.17,1
71129,71129,SHREVEPORT,Louisiana,Caddo,1,1,1111,1,1,1,25.4,1,33750,1,967.2377939,0,0.66,1,0.91,0,0.068,1,0.11,1
63801,63801,Miner ,Missouri,Scott,0,1,3375,1,1,1,22,1,44583,1,3374.999997,1,0.63,1,0.94,0,0.045,1,0.11,1
59724,59724,Dell,Montana,Beaverhead,0,1,4410,1,0,1,20.5,1,53807,1,939.5663755,0,0.67,1,0.95,0,0.031,0,0.11,1
59762,59762,Wise River,Montana,Beaverhead,1,1,4410,1,0,1,20.5,1,53807,1,939.5663755,0,0.67,1,0.95,0,0.031,0,0.11,1
59401,59401,Great Falls,Montana,Cascade,0,1,2621,1,0,1,22.3,1,53804,1,2569.548646,1,0.83,0,0.84,1,0.038,1,0.1,1
59027,59027,Emigrant,Montana,Park,0,1,3210,1,0,1,21.1,1,42182,1,2416.047706,1,0.6,1,0.93,0,0.04,1,0.1,1
59702,59702,Butte,Montana,Silver Bow,0,1,4644,1,1,1,29.8,1,32500,1,993.0928881,0,0.63,1,0.82,1,0.042,1,0.09,1
59044,59044,LAUREL,Montana,Yellowstone,0,1,4461,1,0,1,9.8,0,52614,1,2285.096631,1,0.84,0,0.85,0,0.035,0,0.08,0
59088,59088,WORDEN,Montana,Yellowstone,0,1,5389,1,1,1,25.2,1,47152,1,1622.485039,1,0.84,0,0.85,0,0.035,0,0.08,0
88011,88011,Las Cruces,New Mexico,Dona Ana,0,1,3969,1,0,1,20.7,1,49464,1,1278.807023,1,0.78,0,0.83,1,0.069,1,0.13,1
87410,87410,AZTEC,New Mexico,San Juan,0,1,5111,1,0,1,29.5,1,47184,1,4918.471846,1,0.55,1,0.67,1,0.072,1,0.14,1
87506,87506,SANTA FE,New Mexico,Santa Fe,0,1,6888,1,1,1,26.2,1,73869,0,4201.525606,1,0.77,0,0.68,1,0.051,1,0.13,1
13669,13669,Ogdensburg,New York,St. Lawrence,0,1,3381,1,1,1,26.3,1,54154,1,2307.688467,1,0.58,1,0.85,0,0.068,1,0.07,0
74108,74108,Tulsa,Oklahoma,Tulsa,1,1,2159,1,0,1,32.8,1,31417,1,1692.247686,1,0.92,0,0.84,1,0.043,1,0.16,1
78255,78255,San Antonio ,Texas,Bexar,0,1,3379,1,1,1,23.5,1,58056,1,3379.000073,1,0.87,0,0.88,0,0.035,0,0.17,1
78853,78853,Eagle Pass,Texas,Maverick,0,1,7083,1,0,1,36.6,1,26049,1,7083.000001,1,0.74,0,0.87,0,0.093,1,0.27,1
99005,99005,Colbert,Washington,Spokane,1,1,4654,1,1,1,31.1,1,39592,1,798.2161194,0,0.87,0,0.85,0,0.054,1,0.06,0
82001,82001,CHEYENNE,Wyoming,Laramie,0,1,4588,1,1,1,28.2,1,49293,1,2995.33551,1,0.71,0,0.79,1,0.037,0,0.11,1
82009,82009,Cheyenne,Wyoming,Laramie,0,1,4626,1,0,1,14.3,0,54938,1,4096.46288,1,0.71,0,0.79,1,0.037,0,0.11,1
82060,82060,Hillsdale,Wyoming,Laramie,0,1,5108,1,0,1,21.2,1,48226,1,1141.912488,1,0.71,0,0.79,1,0.037,0,0.11,1
82604,82604,Mills,Wyoming,Natrona,0,1,4385,1,1,1,18.3,0,32083,1,4136.529181,1,0.87,0,0.79,1,0.053,1,0.14,1
82440,82440,RALSTON,Wyoming,Park,0,1,5769,1,0,1,10.3,0,56942,1,2946.618582,1,0.64,1,0.85,0,0.042,1,0.15,1
99654,99654,Wasilla,Alaska,Matanuska-Susitna,0,0,620,1,0,1,33.2,1,63500,0,620.0000047,0,0.57,1,0.78,1,0.087,1,0.16,1
93012,93012,Santa Rosa,California,Ventura,0,0,819,1,0,1,20.1,1,78333,0,271.4015372,0,0.97,0,0.86,0,0.045,1,0.1,1
81101,81101,ALAMOSA,Colorado,Alamosa,0,0,1775,1,0,1,17.4,0,57212,1,672.1551557,0,0.78,0,0.83,1,0.025,0,0.1,1
81052,81052,Lamar,Colorado,Bent,0,0,6499,1,0,1,18.4,0,42764,1,819.2808651,0,0.85,0,0.7,1,0.027,0,0.12,1
81133,81133,Fort Garland,Colorado,Costilla,0,0,1646,1,0,1,27.8,1,46830,1,1644.007219,1,0.42,1,0.92,0,0.035,0,0.15,1
81151,81151,San Acacio,Colorado,Costilla,0,0,1878,1,1,1,21.4,1,38214,1,1877.999993,1,0.42,1,0.92,0,0.035,0,0.15,1
81252,81252,Silver Cliff,Colorado,Custer,0,0,4255,1,0,1,17.7,0,41394,1,1101.437436,1,0.95,0,0.87,0,0.03,0,0.12,1
81416,81416,DELTA,Colorado,Delta,0,0,4078,1,1,1,19.8,0,51567,1,2363.36028,1,0.73,0,0.88,0,0.039,1,0.1,1
81324,81324,DOVE CREEK,Colorado,Dolores,0,0,2064,1,0,1,20.1,1,45242,1,2063.999995,1,0.79,0,0.74,1,0.04,1,0.13,1
81324-0000,81324,DOVE CREEK,Colorado,Dolores,0,0,2064,1,0,1,20.1,1,45242,1,2063.999995,1,0.79,0,0.74,1,0.04,1,0.13,1
80106,80106,ELBERT,Colorado,Elbert,0,0,2010,1,0,1,12.8,0,61484,0,1863.068203,1,0.57,1,0.86,0,0.024,0,0.07,0
81215,81215,CANON CITY,Colorado,Fremont,0,0,3462,1,0,1,7.7,0,54474,1,2938.445361,1,0.67,1,0.79,1,0.043,1,0.09,1
81082,81082,Trinidad,Colorado,Las Animas,1,0,3930,1,0,1,17,0,52212,1,1060.633802,1,0.8,0,0.86,0,0.04,1,0.1,1
80751,80751,STERLING,Colorado,Logan,0,0,2248,1,0,1,13.7,0,57917,1,1314.876534,1,0.84,0,0.87,0,0.023,0,0.11,1
81523,81523,GLADE PARK,Colorado,Mesa,0,0,3424,1,0,1,15.4,0,58229,1,3224.007047,1,0.78,0,0.76,1,0.04,1,0.09,1
81610,81610,DINOSAUR,Colorado,Moffat ,0,0,1608,1,0,1,15.8,0,58621,1,1226.954019,1,0.77,0,0.81,1,0.033,0,0.1,1
81323,81323,DOLORES,Colorado,Montezuma,0,0,1588,1,0,1,30.5,1,33846,1,1486.88512,1,0.79,0,0.74,1,0.04,1,0.13,1
81425,81425,OLATHE,Colorado,Montrose,0,0,2906,1,0,1,9.8,0,52022,1,783.1794726,0,0.85,0,0.81,1,0.033,0,0.12,1
81429,81429,PARADOX,Colorado,Montrose,0,0,4426,1,0,1,20.4,1,44231,1,2161.49842,1,0.85,0,0.81,1,0.033,0,0.12,1
81144,81144,Monte Vista,Colorado,Rio Grande,0,0,4729,1,1,1,16.5,0,56114,1,1364.189618,1,0.78,0,0.85,0,0.043,1,0.12,1
81125,81125,Center,Colorado,Saguache ,0,0,3143,1,0,1,20.4,1,43250,1,1037.164044,1,0.48,1,0.8,1,0.044,1,0.17,1
81433,81433,SILVERTON,Colorado,San Juan,0,0,699,1,0,1,16.5,0,53250,1,693.7072435,0,1,0,0.5,1,0.022,0,0.1,1
80720,80720,AKRON,Colorado,Washington,0,0,2149,1,0,1,13.4,0,51875,1,2024.838258,1,0.44,1,0.92,0,0.019,0,0.1,1
80727,80727,ECKLEY,Colorado,Yuma,0,0,4602,1,0,1,11.5,0,56769,1,1114.139004,1,0.72,0,0.86,0,0.016,0,0.12,1
80735,80735,IDALIA,Colorado,Yuma,0,0,5441,1,0,1,9,0,53958,1,1186.408978,1,0.72,0,0.86,0,0.016,0,0.12,1
80758,80758,WRAY,Colorado,Yuma,0,0,4602,1,0,1,11.5,0,56769,1,1114.139004,1,0.72,0,0.86,0,0.016,0,0.12,1
80759,80759,YUMA,Colorado,Yuma,0,0,5441,1,0,1,9,0,53958,1,1186.408978,1,0.72,0,0.86,0,0.016,0,0.12,1
66901,66901,CONCORDIA,Kansas,Cloud,0,0,2347,1,0,1,8,0,51641,1,1750.439588,1,0.67,1,0.76,1,0.044,1,0.1,1
67156,67156,WINFIELD,Kansas,Cowley,0,0,3066,1,0,1,10.9,0,51701,1,755.8918591,0,0.71,0,0.83,1,0.038,1,0.11,1
66853,66853,Hamilton,Kansas,Greenwood,0,0,1761,1,0,1,18.2,0,46750,1,1189.980195,1,0.6,1,1,0,0.043,1,0.11,1
67878,67878,Syracuse,Kansas,Hamilton,0,0,2690,1,0,1,15.9,0,51087,1,2690.000001,1,0.8,0,0.97,0,0.024,0,0.21,1
66783,66783,Yates Center,Kansas,Woodson,0,0,1720,1,0,1,24.7,1,47625,1,613.5003846,0,0.43,1,0.93,0,0.045,1,0.11,1
59725,59725,Dillon,Montana,Beaverhead,0,0,1366,1,0,1,13.4,0,45313,1,1291.289348,1,0.67,1,0.95,0,0.031,0,0.11,1
59022,59022,Crow Agency,Montana,Big Horn,0,0,1790,1,0,1,46.8,1,34194,1,1080.783009,1,0.59,1,0.7,1,0.134,1,0.18,1
59031,59031,GARRYOWEN,Montana,Big Horn,1,0,2923,1,0,1,33.9,1,48700,1,2045.957712,1,0.59,1,0.7,1,0.134,1,0.18,1
59034,59034,HARDIN,Montana,Big Horn,1,0,2194,1,0,1,29.7,1,49609,1,681.8852825,0,0.59,1,0.7,1,0.134,1,0.18,1
59035,59035,FORT SMITH,Montana,Big Horn,0,0,1436,1,0,1,26.5,1,44063,1,1395.826529,1,0.59,1,0.7,1,0.134,1,0.18,1
59066,59066,PRYOR,Montana,Big Horn,0,0,2923,1,0,1,33.9,1,48700,1,2045.957712,1,0.59,1,0.7,1,0.134,1,0.18,1
59075,59075,Saint Xavier,Montana,Big Horn,0,0,2194,1,0,1,29.7,1,49609,1,681.8852825,0,0.59,1,0.7,1,0.134,1,0.18,1
59529,59529,Hogeland,Montana,Blaine,0,0,1330,1,0,1,38.7,1,28833,1,1329.999978,1,0.37,1,0.83,1,0.041,1,0.17,1
59026,59026,Edgar,Montana,Carbon,0,0,1354,1,0,1,13.3,0,46908,1,462.4634968,0,0.45,1,0.98,0,0.037,0,0.11,1
59041,59041,Silesia,Montana,Carbon,0,0,1354,1,0,1,13.3,0,46908,1,462.4634968,0,0.45,1,0.98,0,0.037,0,0.11,1
59068,59068,RED LODGE,Montana,Carbon,0,0,1354,1,0,1,13.3,0,46908,1,462.4634968,0,0.45,1,0.98,0,0.037,0,0.11,1
59046,59046,BELMONT,Montana,Golden Valley,0,0,884,1,0,1,21.1,1,49844,1,884.0000031,0,0.01,1,0.89,0,0.05,1,0.11,1
59074,59074,Ryegate,Montana,Golden Valley,0,0,884,1,0,1,21.1,1,49844,1,884.0000031,0,0.01,1,0.89,0,0.05,1,0.11,1
59635,59635,East Helena,Montana,Lewis and Clark,0,0,2132,1,0,1,17.2,0,42308,1,2126.708132,1,0.78,0,0.86,0,0.035,0,0.08,0
59053,59053,Martinsdale ,Montana,Meagher,0,0,1891,1,0,1,14.1,0,44965,1,1890.999996,1,0.64,1,0.95,0,0.045,1,0.11,1
59645,59645,White Sulphur Springs,Montana,Meagher,0,0,1891,1,0,1,14.1,0,44965,1,1890.999996,1,0.64,1,0.95,0,0.045,1,0.11,1
59820,59820,Alberton,Montana,Mineral,,0,2136,1,0,1,25,1,44837,1,1123.174351,1,1,0,0.86,0,0.076,1,0.11,1
59349,59349,Terry,Montana,Prairie,0,0,1179,1,0,1,19.2,0,46000,1,1179.000002,1,0.03,1,0.71,1,0.36,1,0.1,1
59201,59201,WOLF POINT,Montana,Roosevelt,0,0,4298,1,1,1,34.5,1,36481,1,4222.905809,1,0.49,1,0.73,1,0.47,1,0.18,1
59226,59226,Froid,Montana,Roosevelt,0,0,4298,1,1,1,34.5,1,36481,1,4222.905809,1,0.49,1,0.73,1,0.47,1,0.18,1
59255,59255,POPLAR,Montana,Roosevelt,0,0,4298,1,1,1,34.5,1,36481,1,4222.905809,1,0.49,1,0.73,1,0.47,1,0.18,1
59330,59330,Hathaway,Montana,Rosebud,0,0,3118,1,0,1,42.2,1,38854,1,843.6548685,0,0.55,1,0.74,1,0.052,1,0.13,1
59330-3003,59330,Hathaway,Montana,Rosebud,0,0,3118,1,0,1,42.2,1,38854,1,843.6548685,0,0.55,1,0.74,1,0.052,1,0.13,1
59038,59038,HYSHAM,Montana,Treasure,0,0,718,1,0,1,18.1,0,46719,1,718,0,0.11,1,0.9,0,0.038,1,0.13,1
59036,59036,HARLOWTON,Montana,Wheatland,0,0,2168,1,0,1,14.1,0,40956,1,2167.99999,1,0.5,1,0.95,0,0.044,1,0.15,1
59078,59078,SHAWMUT,Montana,Wheatland,0,0,2168,1,0,1,14.1,0,40956,1,2167.99999,1,0.5,1,0.95,0,0.044,1,0.15,1
59453,59453,Judith Gap,Montana,Wheatland,0,0,2168,1,0,1,14.1,0,40956,1,2167.99999,1,0.5,1,0.95,0,0.044,1,0.15,1
68355,68355,FALLS CITY,Nebraska,Richardson,0,0,1775,1,0,1,8.1,0,50685,1,639.0442101,0,0.59,1,0.89,0,0.025,0,0.11,1
84530,84530,LA SAL,Utah,San Juan,0,0,3882,1,0,1,39.4,1,35043,1,3882.000021,1,0.37,1,0.92,0,0.072,1,0.17,1
84535,84535,MONTICELLO,Utah,San Juan,0,0,2187,1,0,1,46.6,1,24688,1,2187.000005,1,0.37,1,0.92,0,0.072,1,0.17,1
99502,99502,Anchorage ,Alaska,Anchorage Municipality,1,1,5736,0,0,0,7.1,0,107688,0,3934.111351,1,0.92,0,0.8,1,0.06,1,0.13,1
99712,99712,FAIRBANKS,Alaska,Fairbanks North Star Borough,0,1,1709,0,0,1,12.4,0,48011,1,0,0,0.75,0,0.7,1,0.063,1,0.14,1
85268,85268,FOUNTAIN HILLS,Arizona,Maricopa,0,1,4640,0,0,0,7.9,0,143490,0,4639.999968,1,0.86,0,0.78,1,0.045,1,0.11,1
85652,85652,CORTARO,Arizona,Pima,0,1,514,0,0,1,32.6,1,82273,0,0,0,0.86,0,0.78,1,0.045,1,0.11,1
85750,85750,TUCSON,Arizona,Pima,1,1,4409,0,0,1,37,1,27700,1,0,0,0.55,1,0.67,1,0.072,1,0.14,1
85140,85140,Queen Creek,Arizona,Pinal,0,1,6610,0,0,0,3.7,0,59286,0,6609.99998,1,0.74,0,0.72,1,0.05,1,1.11,1
94539,94539,Fremont,California,Alameda,0,1,2937,0,0,0,5,0,230139,0,1772.864756,1,1,0,0.87,0,0.036,0,0.05,0
90068,90068,Hollywood,California,Los Angeles,1,1,4731,0,0,1,16,0,53615,1,114.5074293,0,0.97,0,0.82,1,0.047,1,0.11,1
91910,91910,Chula Vista,California,San Diego,1,1,3029,0,0,0,4,0,152500,0,883.4149494,0,0.97,0,0.81,1,0.04,1,0.08,0
92021,92021,El Cajon,California,San Diego,0,1,1801,0,0,0,4.6,0,150938,0,2.696388721,0,0.97,0,0.81,1,0.04,1,0.08,0
